role,education_degree,salary,jobs,Summary,detail,skills,qualifications
Financial Controller ,"Bachelor in Business Administration (with emphasis in Finance), Bachelor in Economics",87222 per year,"24,000+",A financial controller uses advanced financial skills to analyze prepare and oversee financial reporting processes. They oversee all accounting practices within an organization and may make financial and budget recommendations to the organization's decision makers. Financial controllers have the following responsibilities: ,Recruit hire and train financial analyst team members. Prepare financial statements budgets and reports. Identify financial trends and make recommendations. Evaluate current budgets and identify ways to cut costs. Approve invoices and follow up with past-due accounts ,Accounting Software.  QuickBooks.  Accounting.  Sage.  Regulatory Reporting.  GAAP.  Workers' Compensation Law.  General Ledger Accounting.  Financial Management.  IFRS.  ERP Systems.  Budgeting ,CPA. Certified Management Accountant. Certified Investment Management Analyst. Chartered Financial Analyst. PMI Certification. Passenger Endorsement. FINRA License. Physician Assistant License. Certified Sommelier. Six Sigma Certification. Certified Defense Financial Manager 
Physiotherapist ,"Medical Degree in Biology, Bachelor in Physiotherapy",88478 per year ,"23,000+","Physiotherapists restore function and movement in people affected by injury disability or illness. Among the methods used by physiotherapists are exercise manual therapy clinical advice and education. Physiotherapy is based on a ""whole person""ù approach to health improvement and well-being with particular attention given to the patient's lifestyle. It is a science-based discipline that relies heavily on the patient's involvement in their own care. Some of their primary duties include:",Help patients manage pain. Help prevent recurring illnesses and maintain overall patient health. Facilitate recovery and encourage physical improvement. Enable patients to continue working and leading better quality lives for as long as possible. Assess patients' conditions and implement treatment programs. Devise programs aimed at preventing physical dysfunction ,ICU Experience.  Critical Care Experience.  AJAX.  Case Management.  Communication Skills ,Physical Therapy License. BLS Certification. CPR Certification. First Aid Certification 
Physical Therapy Assistant ,"Medical Degree in Biology, Bachelor in Physiotherapy",31.02 per hour ,"24,000+",A physical therapy assistant is a healthcare professional responsible for carrying out patient treatment plans under the supervision of a physical therapist. They help with a variety of tasks including showing patients how to perform exercises using modalities on them and educating them about their injuries. Modalities are instruments of energy that may make physiological changes such as ultrasounds moist heat ice stimulation of muscles or traction devices. Physical therapy assistants also spend time documenting each treatment session accurately and may need to submit their treatment notes to insurance companies. Some of their primary duties include:,Verifying patients are performing their home exercises properly and correcting them if necessary. Communicating with the physical therapist to update exercise programs. Evaluating a patient's condition using medical and biological science. Teaching patients and their family how to take care of their injury after therapy finishes. Creating objectives and goals for treatment ,Home Care.  Physiology Knowledge.  Patient Service Experience.  Anatomy Knowledge.  Medical Office Experience.  Front Desk.  Heavy Lifting.  Office Experience.  Patient Assessment.  Pediatrics Experience.  Teaching.  Patient Care ,Licensed Physical Therapy Assistant. Physical Therapy License. CPR Certification. BLS Certification. Certified Athletic Trainer. AHA Certification. COTA. Massage Therapy License. CNA. Certified Personal Trainer. AED Certification 
Paralegal ,"Bachelor in Law, Bachelor in Business Administration (with emphasis in Business Law)",50261 per year,"27,000+",A paralegal is a legal professional who performs a variety of work for a lawyer. Paralegals help lawyers prepare for trials depositions and hearings and assist with preparing closing documents for cases. Their tasks vary depending on the size of their firm but commonly include: ,Drafting legal documents and reports requested by lawyers. Developing legal arguments motions and case filings with lawyers. Conducting case research using existing files and other relevant resources. Gathering case evidence including affidavits and formal statements. Maintaining and organizing legal files for ongoing and resolved cases. Monitoring pertinent changes to government regulations and guidelines ,Paralegal.  Legal Research.  Legal Drafting.  Litigation.  Leadership Experience.  Intellectual Property Law.  Filing.  UCC Law.  Contracts.  Microsoft Outlook.  Microsoft Word.  Word Processing ,Paralegal Certificate. Certified Notary Public. Non-CDL Class C. Bar. Water Certification. Certified Compensation Professional. School Bus Endorsement. RN. Certified Dental Assistant. CompTIA Certified Technical Trainer. Certified Anti-Money Laundering Specialist 
Manufacturing Engineer ,"Bachelor in Mechanical Engineering, Bachelor in Industrial Engineering, Bachelor in Process Engineering",77383 per year  ,"21,000+",Manufacturing engineers evaluate the process of†manufacturing in a company identify potential improvements and create and implement solutions. They can work in many different types of†facilities in any industry that manufactures products. Manufacturing engineer duties include: ,Studying existing manufacturing processes and identifying strengths and weaknesses. Identifying potential improvements in product design and assembly line processes. Designing new systems for a product including the design of entire factories. Creating protocols to improve optimization of the product line in technical and budgetary aspects. Designing new products. Working with design teams to create prototypes. Working with financial and marketing teams to provide them with information that will affect pricing and advertising decisions. Assisting with inventory control. Managing the procurement process for raw materials ,Lean Manufacturing.  Manufacturing.  Tooling.  SolidWorks.  Machining.  Six Sigma.  Lean.  CAD.  Kaizen.  Assembly Experience.  CNC Programming.  CNC ,Six Sigma Certification. Lean Six Sigma Certification. Lean Six Sigma Green Belt. Certified Quality Engineer. CAD Certification. Certified Welding Inspector. IPC-610 Certification. PMP. Six Sigma Master Black Belt. Certified Quality Auditor. AWS D1.1. Lean Six Sigma Black Belt 
Internal Auditor ,"Bachelor in Business Administration (with emphasis in Accounting and/or Finance), Bachelor in Economics",87308 per year  ,"24,000+",An internal auditor is a finance professional who provides independent and objective evaluations of financial and operational business activities. Internal auditors make sure the company complies with local state and national laws and regulations and that the company follows proper procedures and functions as efficiently as possible. Their main responsibility is to identify and correct any issues they discover to avoid issues during an external audit by government authorities. Some of an internal auditor's additional responsibilities may include: ,Maintaining and cultivating a master inventory of the company's policies practices and processes. Testing the operation and altering the design of existing financial controls to improve efficiency and customer care. Performing inquiries and testing as needed to identify and resolve any vulnerabilities. Creating and updating the internal audit plan by developing new audit programs to ensure adequate financial controls. Making recommendations to financial management about software policies and audit triggers ,Internal Audits.  SOX.  COSO.  COBIT.  Visio.  ISO 27001.  Data Analytics.  Financial Services.  Accounting.  Process Improvement.  Data Analysis Skills.  NIST Standards ,Certified Internal Auditor. Certified Information Systems Auditor. CPA. Certified Fraud Examiner. Certified Financial Services Auditor. CISSP. CGEIT. CRISC. Certified Anti-Money Laundering Specialist. CISM. Certification In Risk Management Assurance. Certified Government Auditing Professional 
Dental Hygienist ,Bachelor in Dentistry,38.20 per hour  ,"21,000+",Dental hygienists examine and clean patients' teeth. They typically offer preventive care to help patients avoid oral diseases and they also teach patients about maintaining good oral health. Dental hygienists perform the following tasks: ,Clean patients' teeth. Use ultrasonic toothbrushes to deeply clean and power polishing tools to eliminate stains. Use handheld implements to remove plaque and tartar. Examine patients' teeth and looking for signs of oral diseases. Monitor patients' oral health. Review patients' dental histories during each visit to ensure they are maintaining good oral health and following recommended treatment plans. Collaborate with other dentists,Infection Control Training.  Eaglesoft.  Dentrix.  EMR Systems.  Medical Imaging.  HIPAA.  Communication Skills.  Computer Skills.  Dental Office Experience.  Chairside Assisting.  Outside Sales.  OSHA ,Registered Dental Hygienist. Local Anesthesia Certification. Anesthesia Certification. Nitrous Oxide Certification. X-Ray Certification. CPR Certification. Radiology Certification. Sealant Certification. BLS Certification. Certified Dental Assistant. AHA Certification. Physician Assistant License 
Process Engineer ,"Bachelor in Chemical Engineering, Bachelor in Industrial Engineering",86944 per year  ,"21,000+",A process engineer is responsible for the equipment system and methods used in a manufacturing facility to transform raw ingredients to their final product form. This position is responsible for the smooth operation of production facilities plants and factories and often requires a mix of scientific and administrative skills. Some process engineer duties include: ,Testing monitoring and maintaining equipment including conducting regular tests to make sure equipment is in compliance with national and internal standards. Researching pricing and assisting in the purchase of new equipment. Designing new equipment as required or redesigning the flow of the process in the factory or plant. Designing modifying and overseeing processes to guarantee maximum output with minimum defects in the production line. Overseeing the operations of the plant†. Overseeing the safety of employees. Writing maintaining and collecting required paperwork to show compliance with safety protocols. Collecting and interpreting data on efficiency and budgets to report to senior management. Analyzing every detail and step of the production process to cut costs increase productivity and optimize the production line ,Process Engineering.  Distributed Control Systems.  Manufacturing.  Six Sigma.  Lean Manufacturing.  Programmable Logic Controllers.  Continuous Improvement.  Root Cause Analysis.  Minitab.  CGMP.  Process Improvement.  Kaizen ,Six Sigma Certification. Lean Six Sigma Green Belt. Lean Six Sigma Certification. Professional Engineer. Molder Certification. Certified Quality Engineer. IPC-610 Certification. PMP. Lean Six Sigma Black Belt. TWIC Card. CTBS. ITIL Certification 
Industrial Engineer ,Bachelor in Industrial Engineering,73786 per year  ,"22,000+",Industrial engineers work with machines and systems to improve the efficiency of a company. An industrial engineer may work in production or manufacturing and will find ways to†cut costs improve productivity and maximize the organization's output. An industrial engineer may have the following responsibilities: ,Evaluate productivity and offer recommendations to improve procedures. Assess machinery and identify ways to improve its efficiency. Develop quality control standards and regularly†test and report on results. Predict and improve financial planning for industrial equipment. Monitor employee schedules and tasks and make improvements to meet demands ,Industrial Engineering.  Lean Manufacturing.  GM Vehicles.  Manufacturing.  Lean.  Six Sigma.  Kaizen.  Continuous Improvement.  Assembly Experience.  Value Stream Mapping.  AutoCAD.  Warehouse Management System ,Six Sigma Certification. Lean Six Sigma Black Belt. Lean Six Sigma Green Belt. Lean Six Sigma Certification. Six Sigma Master Black Belt. Professional Engineer. Certified Welding Inspector. Fundamentals of Engineering. LEED Certification. AWS D1.1. Certified Safety Professional 
Data Analyst ,"Bachelor in Mathematics and Statistics, Bachelor in Computer Science, Bachelor in Computer Engineering",64791 per year,"25,000+",Data analysts organize and interpret large amounts of data for others to easily understand. Business professionals use this interpreted data to make business decisions. Data analysts also have the following responsibilities: ,Complete statistical tests to gather data related to business procedures. Translate large amounts of data into easy-to-read reports. Identify important trends that can influence business decisions. Routinely monitor data for industry changes. Collaborate with team members to improve statistical testing procedures ,Data Analysis Skills.  Tableau.  SQL.  Data Mining.  Power BI.  SAS.  R.  Data Management.  Data Visualization.  Data Analytics.  Microsoft Access.  Analytics ,PMP. ITIL Certification. Six Sigma Certification. CAPM. Certified Dental Assistant. CISSP. CCBA. CompTIA Security+. CBAP. IAT Level II. RCDD. Epic Certification 
Buyer ,0,62799 per year  ,"38,000+",A buyer is a finance and business professional who investigates evaluates and purchases products for companies to sell or use in their own operations. Also known as purchasing agents buyers must work within a budget and often have to negotiate competitive pricing for the items they want to purchase. Here are some additional responsibilities of a buyer: ,Selecting and ordering products and authorizing payments based on contractual agreements with suppliers or manufacturers. Assisting supply chain managers with maintaining proper inventory levels for regularly used supplies. Working with inventory management to ensure all deliveries are fulfilled and reporting any missing or back-ordered items. Communicating with the field management team to ensure all field purchase orders are correct. Developing an accurate and efficient monitoring system for open purchase orders and delivering weekly reports to management with documentation of closed purchase orders ,Purchasing.  Procurement.  MRP.  Negotiation.  ERP Systems.  Sourcing.  HR Sourcing.  Manufacturing.  Contracts.  SAP.  Supply Chain Experience.  Inventory Control ,Real Estate License. CPIM. Certified Purchasing Manager. Certified Supply Chain Professional. APICS Certification. Real Estate Broker. Lean Six Sigma Certification. Six Sigma Certification. Lean Six Sigma Yellow Belt. CPPB. Pharmacy Technician Certification 
Pathologist ,Medical Degree in Biology,120643 per year,"17,000+",A pathologist is a medical doctor with a dedication to studying the causes indicators cures and effects of various diseases. Some of the duties pathologists typically have include: ,Studying bodily fluids and tissues to determine the cause of a patient's ailments. Working with imaging specialists to create analysis algorithms based on laboratory samples. Conducting tissue biopsies to determine whether a tissue sample is benign or cancerous. Collating data from multiple sources into single clinical studies. Performing autopsies to gather information about a disease's genetic progression and growth. Conducting analyses of the clinical data available to reach more definitive conclusions Analyzing genetic material and testing for potentially effective treatments for conditions based on genetic information. Supervising physical examinations on a patient to offer recommendations on actions a patient can take to maintain health and cure illnesses , , 
Clinical Social Worker ,0,41.00 per hour ,"21,000+",Clinical social workers are professionals licensed to diagnose and treat people with behavioral mental and emotional disorders. They work with clients to change damaging behaviors or manage challenges in their lives. Conditions clinical social workers might treat include anxiety depression eating disorders addiction and more. Some specialize in certain areas such as criminal justice or child welfare. Others treat specific populations such as military personnel students children elderly or families. Some of their primary duties include:,Meeting with clients to assess their histories conditions and needs. Interviewing clients' families and doctors. Creating a treatment strategy using methods such as behavior therapy and psychotherapeutic techniques. Collaborating with doctors other health professionals and support groups. Monitoring clients' responses to treatment. Administrative and record-keeping duties. Counseling individuals and families going through difficult situations such as illness divorce unemployment or substance abuse ,Social Work.  Hospice Care.  Case Management.  Behavioral Health.  Addiction Counseling.  Motivational Interviewing.  Intake Experience.  Crisis Intervention.  Child Welfare.  Experience with Children.  Home Care.  Acute Care ,Clinical Social Worker. LMSW. Social Work License. LSW. Licensed Clinical Social Worker. LASW. Certified Social Worker. LICSW. LBSW. Professional Educator License. LISW. LSWAA 
Charge Nurse ,Bachelor of Nursing,24.29 per hour  ,"28,000+",Charge nurses manage a ward in a hospital or other healthcare facility. They are experienced nurses who delegate tasks to other staff in their unit. Charge nurses may do a combination of the following tasks: ,Coordinate with physicians who need assistance. Detect patient issues that could result in injuries or other difficulties. Prepare and maintain schedules. Monitor admissions and discharges. Order and monitor supplies. Oversee policy safety and procedure compliance,HTTPS.  Tube Feeding.  Medication Administration.  Physiology Knowledge.  Nursing.  Catheterization.  Anatomy Knowledge.  Employee Evaluation.  Dialysis Experience.  Supervising Experience.  Nursing Home Experience.  Physical Examinations ,LPN. LVN. RN. CPR Certification. BLS Certification. ACLS Certification. CNA. Compact State Nurse License. PALS Certification. CCRN Certification. AHA Certification. IV Certification 
Staff Accountant ,Bachelor in Business Administration (with emphasis in Accounting),51249 per year,"20,000+",Staff accountants handle basic accounting tasks like financial reporting budget preparation and general bookkeeping for an organization. Many professionals in this position prepare tax returns and some also manage accounts payable and receivable. Staff accountants typically work under experienced professionals like controllers or certified public accountants. As a staff accountant you can expect to fulfill the following responsibilities: ,Maintain records and create accounting entries for the organization's journals and registers. Create general ledger entries and reconcile accounts. Prepare financial statements at the end of each month. Gather data from the general ledger to produce financial statements. Provide transaction details. Analyze internal procedures. Recommend improvements to reduce costs or labor. Review existing workflows and test new methods. Assist with audits. Review financial details to translate data into new ledger formats,Accounting.  QuickBooks.  Account Reconciliation.  General Ledger Accounting.  General Ledger Reconciliation.  Accounting Software.  Microsoft Dynamics GP.  Sage.  GAAP.  Balance Sheet Reconciliation.  Pivot Tables.  Account Analysis ,CPA. Certified Management Accountant. Enrolled Agent. Certified Bookkeeper. PERC Card. Certified Internal Auditor. Certified Investment Management Analyst. Non-CDL Class C. Certified Government Financial Manager. Certified Valuation Analyst. Childcare Certification 
Program Coordinator ,Bachelor in Business Administration,43320 per year,"21,000+",Program coordinators handle human resources and administrative tasks though their exact roles and responsibilities vary widely by industry. Program coordinators are typically employed by a variety of organizations including educational healthcare or assisted living facilities. They organize implement and execute programs and typically handle the following tasks: ,Determining and implementing policies and procedures. Maintaining program budgets. Scheduling employees as needed to execute programs. Organizing and maintaining a program agenda. Managing internal and external communications related to the programming ,Administrative Experience.  Developmental Disabilities Experience.  Supervising Experience.  Data Collection.  Program Management.  Program Development.  Public Speaking.  Meeting Facilitation.  Organizational Skills.  Social Work.  Utilization Review.  Project / Program Management ,First Aid Certification. CPR Certification. Registered Dietitian. Certified Personal Trainer. PMP. LSW. RN. LPC. AED Certification. Social Work License. Crossfit Certification 
Program Analyst ,Bachelor in Business Administration, 86286 per year ,"18,000+",A program analyst often known as a research analyst or program evaluator is a professional responsible for assessing an organization's programs to determine if they are effective and efficient. This is accomplished through research data gathering and similar methods. Some of their primary duties include:,Organizing information about a problem to be addressed or a procedure to be improved. Proposing recommendations to management through presentations or written reports. Interviewing personnel and conducting onsite observations to determine the equipment methods and personnel needed. Developing solutions or alternative practices. Recommending new procedures systems procedures or organizational changes. Analyzing financial and other data including expenditure revenue and employment reports. Conferring with managers to make sure changes are working ,Program Management.  Military Experience.  SharePoint.  DoD Experience.  Microsoft Project.  Project / Program Management.  Microsoft Powerpoint.  Contracts.  Budgeting.  Data Collection.  Earned Value Management.  Financial Management ,PMP. PgMP. PMI Certification. Certified Project Manager. IAM Level II. Lean Six Sigma Certification. Certified Analytics Professional. Certified Defense Financial Manager. FSA. Six Sigma Certification. MCTS. CAPM 
Chemical Engineer ,Bachelor in Chemical Engineering,93304 per year  ,"20,000+",Chemical engineers use math and science to address problems involving chemicals food fuel and other products. They develop manufacturing equipment materials and processes and oversee production methods. Chemical engineers perform the following tasks: ,Research existing manufacturing processes†by meeting with teams or clients to determine manufacturing needs and goals. Research existing processes and consider methods for improving productivity. Design new equipment and processes after conducting research. Use chemical reactions to develop new ways to separate the basic components of elements like liquids and gases. Test and troubleshoot manufacturing designs. Build prototypes and test their designs. Advise colleagues about protocols or change equipment designs to eliminate safety issues. Collaborate with engineering teams to undertake large projects,Process Engineering.  Manufacturing.  Spectroscopy.  Distributed Control Systems.  Hydraulics.  Research & Development.  Six Sigma.  ISO 9001.  Research Experience.  Organic Chemistry.  Investment Experience.  Root Cause Analysis ,Professional Engineer. Certified Project Manager. Six Sigma Certification. Certified Safety Professional. PMP. Fundamentals of Engineering. TWIC Card. Teaching Certification. Bar 
Physical Therapist Assistant ,"Bachelor in Biology, Bachelor in Psychology, Bachelor in Sociology, Bachelor in Kinesiology, Bachelor in Health Science",31.06 per hour  ,"20,000+",A physical therapist assistant aids the primary physical therapist in helping patients overcome disabilities or injuries. They use advanced skills to encourage rehabilitation following an injury or illness. Physical therapist assistants may also work with patients who have chronic disabilities to improve their quality of life. Physical therapist assistants may have the following responsibilities: ,Use rehabilitative techniques to improve patient's mobility strength and range of motion. Observe and review patients' progress and discuss notes with the physical therapist. Record patient progress and share with medical professionals. Educate family members on techniques and exercises the patient can use at home. Work closely to assist the primary physical therapist in developing strengthening routines ,Home Care.  HIPAA.  Patient Service Experience.  Physiology Knowledge.  Computer Literacy.  Patient Assessment.  Pediatrics Experience.  Heavy Lifting.  HTTPS.  Communication Skills.  Data Collection.  Employee Evaluation ,Licensed Physical Therapy Assistant. Physical Therapy License. CPR Certification. COTA. OTR. BLS Certification. AHA Certification. Certified Athletic Trainer. Occupational Therapy Assistant License. CNA. LVN 
Occupational Therapist Assistant ,"Bachelor in Biology, Bachelor in Psychology, Bachelor in Sociology, Bachelor in Kinesiology, Bachelor in Health Science",29.15 per hour  ,"16,000+",An occupational therapist assistant (OTA) supports the occupational therapist in helping patients recover develop improve and maintain the skills they need to continue functioning in daily life through the use of therapeutic techniques. They may work with adults or children who have different needs. Occupational therapist assistants common responsibilities include: ,Helping patients perform different tasks.. Teaching patients how to use special equipment to aid them in daily life.. Recording a patient's progress and reporting to an occupational†therapist. Assisting children with disabilities in play activities that help coordination,Pediatrics Experience.  Home Care.  HIPAA.  Early Intervention.  Computer Literacy.  Acute Care.  Patient Service Experience.  Autism Experience.  Medicare.  Body Mechanics.  Communication Skills.  Heavy Lifting ,Occupational Therapy License. OTR. COTA. CPR Certification. BLS Certification. Occupational Therapy Assistant License. AHA Certification. Physical Therapy License. Physician Assistant License. First Aid Certification. Emergency Nursing Pediatric Course 
Junior Accountant ,Bachelor in Business Administration (with emphasis in Accounting),45519 per year,"18,000+",As entry-level professionals junior accountants assist with preparing and analyzing financial records. They perform data entry maintain files and assist with compliance tasks. Junior accountants manage the following tasks: ,Prepare financial statements by working closely with accounting supervisors. Review and examine financial statements to ensure that they are accurate and that they comply with state and federal regulations. Reconcile bank statementsfor comparing bank statements with general ledgers to confirm that the two are identical. Strive to identify and resolve discrepancies between the two post journal entries. Perform financial data entry tasks such as posting expenses and revenues in accounts in the company's general ledger. Document fixed assets. Depreciate assets to reflect their reduced value over time or dispose assets when they are no longer in use. Assist with compliance reporting by preparing reviewing and filing reports that confirm compliance. Communicate with vendors,Accounting.  QuickBooks.  Accounting Software.  Account Reconciliation.  Accounts Payable.  Sage.  Journal Entries.  Account Analysis.  General Ledger Reconciliation.  Microsoft Excel.  General Ledger Accounting.  Bank Reconciliation ,Certified Investment Management Analyst. CPA. Certified Bookkeeper. MTA. Certified Management Accountant. Chartered Financial Analyst. Certified Internal Auditor. Certified Treasury Professional. TWIC Card. Certified Information Systems Auditor. First Aid Certification 
Copywriter ,"Bachelor in Journalism, Bachelor in English, Bachelor in Communications",51318 per year ,"18,000+",A copywriter creates clear captivating and persuasive content aimed at encouraging people to take action usually to buy a product or subscribe to a service. They find creative ways to convert their client's abstract ideas into compelling content suitable for advertisement. Copywriters can produce content for magazines websites blogs TV programs or other media outlets. Some of their primary duties include: ,Technical reports user manuals training manuals and any other scientific documentation. Social media content. Persuasive speeches. Public relations materials like press releases feature articles products updates and memorandums. Marketing emails. Content idea pitches to interested organizations ,Copywriting.  Writing Skills.  Proofreading.  Creative Writing.  Marketing.  Presentation Skills.  SEO.  Content Strategy.  Social Media Management.  Branding.  Google Docs.  WordPress ,FSA. Certified Personal Trainer. Google Analytics Certification. Esthetician License 
Respiratory Therapist ,"Bachelor of Health Sciences, Medical Degree in Biology",32.45 per hour  ,"17,000+",Respiratory therapists provide care for people who have trouble breathing. Their patients range from people who have chronic respiratory heart diseases like bronchitis emphysema or asthma patients with sleep disorders and also patients in need of emergency care after heart attacks drowning or shock. They may also help infants who need respiratory therapy because of premature births. Some specific responsibilities for this role include: ,Interviewing patients and diagnosing breathing and lung disorders and recommending treatments. Performing necessary procedures with noninvasive methods such as CPAP and BIPAP therapies. Consulting with physicians to recommend a change in therapy. Analyzing breath tissue and blood specimens to evaluate the levels of oxygen and other gases. Responding to urgent calls for care such as for patients who have experienced heart attacks or drowning. Managing ventilators and artificial airway devices for patients unable to breathe on their own ,Respiratory Therapy.  Critical Care Experience.  Patient Assessment.  DME.  ICU Experience.  Physiology Knowledge.  Acute Care.  Ventilator.  Hospital Experience.  Basic Life Support.  Neonatal Ventilator.  Anatomy Knowledge ,RRT. CRT. NRP Certification. ACLS Certification. BLS Certification. PALS Certification. RCP License. AHA Certification. CPFT. Physician Assistant License. CPR Certification. NALS Certification 
Occupational Therapy Assistant ,"Bachelor in Biology, Bachelor in Psychology, Bachelor in Sociology, Bachelor in Kinesiology, Bachelor in Health Science",29.23 per hour ,"18,000+",Occupational therapy assistants or OTAs are healthcare professionals who assist occupational therapists with the rehabilitation and care of patients. These patients can include adults and children with physical issues and injuries and also those with mental and emotional conditions. An occupational therapy assistant aims to help their clients to carry out their daily lives comfortably and capably. Occupational therapies vary from teaching someone with a broken leg on how to get around the house to helping someone to leave their house and go shopping. Some of their primary duties include:,Moving and repositioning bedridden patients. Explaining and demonstrating exercises. Preparing reports and patient notes. Abiding by ethical and confidentiality regulations ,Pediatrics Experience.  HIPAA.  Home Care.  Patient Assessment.  Patient Service Experience.  HTTPS.  Computer Literacy.  Heavy Lifting.  Critical Care Experience.  Data Collection.  Physiology Knowledge.  Employee Evaluation ,COTA. Occupational Therapy Assistant License. Occupational Therapy License. OTR. CPR Certification. BLS Certification. Emergency Nursing Pediatric Course. AHA Certification. CNA. Licensed Physical Therapy Assistant. TNCC Certification 
Graphic Designer ,Bachelor in Graphic Design,50000 per year,"15,000+",Graphic designers create visual content in both print and digital form. They might work on advertisements newsletters publications digital media film web or app design product packaging or interior or architect designs. A company client or art director will give a graphic designer a message or idea to communicate visually. The designer then uses text images and color to form that visual element. Other job responsibilities might include: ,Selecting fonts colors and photos for layouts. Designing logos. Using software to create digital illustrations. Turning data and ideas into images. Presenting designs to clients or managers and making changes as needed ,Graphic Design.  Adobe Illustrator.  Adobe InDesign.  Adobe Photoshop.  Adobe Creative Suite.  Web Design.  Layout Design.  Adobe Dreamweaver.  Photography.  Adobe Acrobat.  CorelDraw.  HTML5 ,Teaching Certification. Certified Treasury Professional. OLCC Service Permit. Certified Notary Public. Certified Benefits Professional. Certified Dental Assistant. Architecture License. HDI Certification. Certified Investment Management Analyst. Clinical Nurse Specialist. Google AdWords Certification 
Cost Accountant ,Bachelor in Business Administration (with emphasis in Accounting),67541 per year  ,"7,000+",Cost accountants are financial specialists who analyze the costs of products that are manufactured or sold by a company. They examine the associated expenses in the supply chain and perform profitability analyses. Cost accountants help organizations identify the products services processes or even departments that are the most or least profitable. Some of their specific responsibilities include: ,Preparing monthly and quarterly accounting reports for submission to management. Generating quarterly reports for senior management based on an inventory reserve analysis. Suggesting changes to procedures and policies to increase the organization's cash flow. Analyzing organizational data and reviewing rates of labor overhead and depreciation to recommend policy changes that will improve numbers. Establishing the standard costs of products and services and updating them as appropriate based on the associated expenses. Maintaining and reviewing the general ledger and balance sheets ,Accounting.  ERP Systems.  SAP ERP.  Manufacturing.  General Ledger Reconciliation.  Sage.  Account Reconciliation.  Analysis Skills.  SAP.  GAAP.  Microsoft Dynamics Navision.  Accounting Software ,Certified Management Accountant. CPA. Six Sigma Certification. Certified Notary Public. IPC-610 Certification. Clinical Nurse Specialist. Certified Information Systems Auditor. Certified Internal Auditor 
Business Analyst ,"Bachelor in Business Administration, Bachelor in Economics, Bachelor of Engineering",74469 per year,"20,000+",A business analyst identifies the needs of a business and then connects them with information technology (IT) resources to increase sales strengthen processes and improve efficiency. Business analysts act as mediators and facilitators for all business systems including the following responsibilities:,Identify the information technology needs of the organization. Implement new IT programs and procedures to improve the efficiency of the business. Create financial reports and IT budgets. Hire monitor and oversee information technology team members. Interpret data to make informed business IT-related recommendations ,Business Analysis.  Visio.  Requirements Gathering.  Business Requirements.  SDLC.  Business Process Modeling.  Agile.  User Acceptance Testing.  Systems Analysis.  Data Analysis Skills.  SQL.  Waterfall ,IIBA Certification. CBAP. CCBA. Certified Scrum Master. PMP. Six Sigma Certification. Epic Certification. ITIL Certification. Certified Project Manager. PMI Certification. CAPM. Certified Anti-Money Laundering Specialist 
Aerospace Engineer ,Bachelor in Aerospace Engineering,76255 per year  ,"14,000+",Aerospace engineers develop and test innovative designs for airborne vehicles including airplanes helicopters drones satellites rockets and military missiles. Most focus on either aircraft or spacecraft and many specialize in focus areas such as propulsion aerodynamics celestial mechanics or control systems. Aerospace engineers perform the following tasks: ,Design aircraft and spacecraft in which they meet with clients to assess their needs. Use blueprints and digital design applications to develop aircraft and spacecraft components that meet client requirements. Test and troubleshoot aerospace designs where they develop prototypes for testing purposes. Determine whether the designs operate safely and achieve the desired objectives. Oversee the manufacturing process. Provide detailed instructions to manufacturing facilities. Supervise the manufacturing process undertake additional testing and ensure the final product meets quality standards. Research and develop new technologies. Collaborate with project teams especially project managers and other engineers to complete large-scale projects within predetermined time frames and budgets,MATLAB.  Systems Engineering.  Aviation Experience.  System Design.  CATIA.  AS9100.  C/C++.  Fortran.  FEA.  Federal Aviation Regulations.  SolidWorks.  Calculus ,Airframe & Powerplant License. Certified Quality Engineer. Professional Engineer. IPC-610 Certification. Six Sigma Certification. Certified Quality Auditor. Certified Project Manager. Lean Six Sigma Green Belt. ASQC Certification. Fundamentals of Engineering. IAT Level III. Lean Six Sigma Black Belt 
